customer_index,monthly_charges,tenure,segment,churn_probability,actual_churn,clv,retention_cost,action,reason,roi
3185,25.05,1,Low Value,0.8468,1,576.15,30,💌 Low Priority — Send retention voucher,CLV ($576.15) > Retention Cost ($30) → ROI = $546.15,546.15
4594,102.8,21,Low Value,0.6127,1,308.4,30,💌 Low Priority — Send retention voucher,CLV ($308.4) > Retention Cost ($30) → ROI = $278.4,278.4
6478,110.8,60,High Value,0.1307,0,664.8,100,✅ No Action,Low churn risk — customer is stable,
3975,85.8,20,Low Value,0.7245,1,343.2,30,💌 Low Priority — Send retention voucher,CLV ($343.2) > Retention Cost ($30) → ROI = $313.2,313.2
1461,95.9,22,Low Value,0.2811,0,191.8,30,✅ No Action,Low churn risk — customer is stable,
2268,20.6,40,Mid Value,0.003,0,123.6,60,✅ No Action,Low churn risk — customer is stable,
1999,74.95,23,Low Value,0.6308,1,74.95,30,💌 Low Priority — Send retention voucher,CLV ($74.95) > Retention Cost ($30) → ROI = $44.95,44.95
2361,45.95,1,Low Value,0.7469,1,1056.85,30,💌 Low Priority — Send retention voucher,CLV ($1056.85) > Retention Cost ($30) → ROI = $1026.85,1026.85
4728,38.25,46,Mid Value,0.0042,0,229.5,60,✅ No Action,Low churn risk — customer is stable,
6481,69.95,5,Low Value,0.6699,0,1329.05,30,💌 Low Priority — Send retention voucher,CLV ($1329.05) > Retention Cost ($30) → ROI = $1299.05,1299.05
6942,20.0,68,Mid Value,0.0018,0,120.0,60,✅ No Action,Low churn risk — customer is stable,
1334,25.2,1,Low Value,0.8707,1,579.6,30,💌 Low Priority — Send retention voucher,CLV ($579.6) > Retention Cost ($30) → ROI = $549.6,549.6
5150,20.1,2,Low Value,0.1888,0,442.2,30,✅ No Action,Low churn risk — customer is stable,
2448,104.85,14,Low Value,0.6249,1,1048.5,30,💌 Low Priority — Send retention voucher,CLV ($1048.5) > Retention Cost ($30) → ROI = $1018.5,1018.5
2231,70.0,10,Low Value,0.574,1,980.0,30,💌 Low Priority — Send retention voucher,CLV ($980.0) > Retention Cost ($30) → ROI = $950.0,950.0
203,78.3,13,Low Value,0.4901,0,861.3,30,✅ No Action,Low churn risk — customer is stable,
1644,109.8,34,Low Value,0.0881,1,658.8,30,✅ No Action,Low churn risk — customer is stable,
1014,57.45,18,Low Value,0.0841,1,344.7,30,✅ No Action,Low churn risk — customer is stable,
6614,19.7,71,Mid Value,0.0011,0,118.2,60,✅ No Action,Low churn risk — customer is stable,
5710,110.5,70,High Value,0.4064,0,663.0,100,✅ No Action,Low churn risk — customer is stable,
1153,64.3,52,High Value,0.0128,0,385.8,100,✅ No Action,Low churn risk — customer is stable,
6332,105.25,68,High Value,0.0419,0,631.5,100,✅ No Action,Low churn risk — customer is stable,
3604,19.6,38,Low Value,0.0683,0,117.6,30,✅ No Action,Low churn risk — customer is stable,
1076,24.5,58,Mid Value,0.0089,0,147.0,60,✅ No Action,Low churn risk — customer is stable,
3978,90.7,3,Low Value,0.5783,0,1904.7,30,💌 Low Priority — Send retention voucher,CLV ($1904.7) > Retention Cost ($30) → ROI = $1874.7,1874.7
3166,48.8,14,Low Value,0.1515,0,488.0,30,✅ No Action,Low churn risk — customer is stable,
6133,24.9,2,Low Value,0.4877,0,547.8,30,✅ No Action,Low churn risk — customer is stable,
185,24.8,1,Low Value,0.7904,1,570.4,30,💌 Low Priority — Send retention voucher,CLV ($570.4) > Retention Cost ($30) → ROI = $540.4,540.4
4686,107.4,72,High Value,0.0053,0,644.4,100,✅ No Action,Low churn risk — customer is stable,
3516,43.3,3,Low Value,0.6149,1,909.3,30,💌 Low Priority — Send retention voucher,CLV ($909.3) > Retention Cost ($30) → ROI = $879.3,879.3
1175,80.0,13,Low Value,0.2974,0,880.0,30,✅ No Action,Low churn risk — customer is stable,
1606,104.1,72,High Value,0.0067,0,624.6,100,✅ No Action,Low churn risk — customer is stable,
1653,20.75,58,Mid Value,0.0172,0,124.5,60,✅ No Action,Low churn risk — customer is stable,
2180,95.5,71,High Value,0.0107,0,573.0,100,✅ No Action,Low churn risk — customer is stable,
1807,76.35,1,Low Value,0.9224,1,1756.05,30,💌 Low Priority — Send retention voucher,CLV ($1756.05) > Retention Cost ($30) → ROI = $1726.05,1726.05
2292,91.3,54,High Value,0.0202,0,547.8,100,✅ No Action,Low churn risk — customer is stable,
1560,45.05,39,Mid Value,0.003,0,270.3,60,✅ No Action,Low churn risk — customer is stable,
5393,70.6,1,Low Value,0.8848,1,1623.8,30,💌 Low Priority — Send retention voucher,CLV ($1623.8) > Retention Cost ($30) → ROI = $1593.8,1593.8
6208,80.8,61,High Value,0.0053,0,484.8,100,✅ No Action,Low churn risk — customer is stable,
1987,89.15,25,Low Value,0.3621,1,534.9,30,✅ No Action,Low churn risk — customer is stable,
5205,91.2,37,Low Value,0.1356,0,547.2,30,✅ No Action,Low churn risk — customer is stable,
3792,91.25,26,Low Value,0.6479,1,547.5,30,💌 Low Priority — Send retention voucher,CLV ($547.5) > Retention Cost ($30) → ROI = $517.5,517.5
4193,19.75,10,Low Value,0.0715,0,276.5,30,✅ No Action,Low churn risk — customer is stable,
6388,20.4,1,Low Value,0.5713,1,469.2,30,💌 Low Priority — Send retention voucher,CLV ($469.2) > Retention Cost ($30) → ROI = $439.2,439.2
5207,40.65,24,Low Value,0.4444,1,243.9,30,✅ No Action,Low churn risk — customer is stable,
675,110.35,65,High Value,0.2633,0,662.1,100,✅ No Action,Low churn risk — customer is stable,
300,64.9,23,Low Value,0.0675,0,64.9,30,✅ No Action,Low churn risk — customer is stable,
5093,66.15,49,High Value,0.0199,0,396.9,100,✅ No Action,Low churn risk — customer is stable,
6191,55.65,42,Low Value,0.128,0,333.9,30,✅ No Action,Low churn risk — customer is stable,
2259,20.85,8,Mid Value,0.0695,0,333.6,60,✅ No Action,Low churn risk — customer is stable,
4802,54.65,28,Low Value,0.0893,0,327.9,30,✅ No Action,Low churn risk — customer is stable,
4231,80.6,71,High Value,0.0034,0,483.6,100,✅ No Action,Low churn risk — customer is stable,
402,99.45,69,High Value,0.2057,1,596.7,100,✅ No Action,Low churn risk — customer is stable,
1036,114.7,68,High Value,0.19,0,688.2,100,✅ No Action,Low churn risk — customer is stable,
7002,105.4,64,High Value,0.0167,0,632.4,100,✅ No Action,Low churn risk — customer is stable,
747,75.05,3,Low Value,0.3957,0,1576.05,30,✅ No Action,Low churn risk — customer is stable,
2373,49.4,66,Mid Value,0.0186,0,296.4,60,✅ No Action,Low churn risk — customer is stable,
3719,18.25,28,Mid Value,0.0006,0,109.5,60,✅ No Action,Low churn risk — customer is stable,
2743,111.05,67,High Value,0.0717,0,666.3,100,✅ No Action,Low churn risk — customer is stable,
2755,19.6,46,Mid Value,0.0154,0,117.6,60,✅ No Action,Low churn risk — customer is stable,
110,96.75,55,High Value,0.3111,1,580.5,100,✅ No Action,Low churn risk — customer is stable,
1801,69.7,22,Low Value,0.257,0,139.4,30,✅ No Action,Low churn risk — customer is stable,
1184,87.9,18,Low Value,0.5889,0,527.4,30,💌 Low Priority — Send retention voucher,CLV ($527.4) > Retention Cost ($30) → ROI = $497.4,497.4
2681,40.4,46,Mid Value,0.006,0,242.4,60,✅ No Action,Low churn risk — customer is stable,
4079,78.15,10,Low Value,0.8319,0,1094.1,30,💌 Low Priority — Send retention voucher,CLV ($1094.1) > Retention Cost ($30) → ROI = $1064.1,1064.1
6239,99.4,72,High Value,0.0998,0,596.4,100,✅ No Action,Low churn risk — customer is stable,
3236,55.3,16,Low Value,0.4368,0,442.4,30,✅ No Action,Low churn risk — customer is stable,
5098,77.0,3,Low Value,0.9423,1,1617.0,30,💌 Low Priority — Send retention voucher,CLV ($1617.0) > Retention Cost ($30) → ROI = $1587.0,1587.0
2383,26.05,21,Low Value,0.4186,0,78.15,30,✅ No Action,Low churn risk — customer is stable,
4782,78.75,5,Low Value,0.6148,0,1496.25,30,💌 Low Priority — Send retention voucher,CLV ($1496.25) > Retention Cost ($30) → ROI = $1466.25,1466.25
180,29.95,1,Low Value,0.7069,1,688.85,30,💌 Low Priority — Send retention voucher,CLV ($688.85) > Retention Cost ($30) → ROI = $658.85,658.85
3044,45.4,1,Low Value,0.7519,1,1044.2,30,💌 Low Priority — Send retention voucher,CLV ($1044.2) > Retention Cost ($30) → ROI = $1014.2,1014.2
2521,85.25,36,Low Value,0.7037,1,511.5,30,💌 Low Priority — Send retention voucher,CLV ($511.5) > Retention Cost ($30) → ROI = $481.5,481.5
4855,104.05,64,High Value,0.0478,0,624.3,100,✅ No Action,Low churn risk — customer is stable,
2143,74.85,30,High Value,0.0949,0,449.1,100,✅ No Action,Low churn risk — customer is stable,
4201,19.55,72,Mid Value,0.0017,0,117.3,60,✅ No Action,Low churn risk — customer is stable,
1855,20.1,46,Mid Value,0.0034,0,120.6,60,✅ No Action,Low churn risk — customer is stable,
3182,95.2,45,High Value,0.048,0,571.2,100,✅ No Action,Low churn risk — customer is stable,
3721,20.65,2,Low Value,0.1452,1,454.3,30,✅ No Action,Low churn risk — customer is stable,
6571,55.0,34,Mid Value,0.0048,0,330.0,60,✅ No Action,Low churn risk — customer is stable,
3240,106.55,54,High Value,0.0415,1,639.3,100,✅ No Action,Low churn risk — customer is stable,
3359,19.95,21,Low Value,0.0734,0,59.85,30,✅ No Action,Low churn risk — customer is stable,
4152,76.15,65,High Value,0.1185,0,456.9,100,✅ No Action,Low churn risk — customer is stable,
4571,69.8,20,Low Value,0.3916,0,279.2,30,✅ No Action,Low churn risk — customer is stable,
2194,79.5,1,Low Value,0.99,1,1828.5,30,💌 Low Priority — Send retention voucher,CLV ($1828.5) > Retention Cost ($30) → ROI = $1798.5,1798.5
1792,69.4,42,Low Value,0.0335,0,416.4,30,✅ No Action,Low churn risk — customer is stable,
2526,19.4,1,Low Value,0.5104,1,446.2,30,💌 Low Priority — Send retention voucher,CLV ($446.2) > Retention Cost ($30) → ROI = $416.2,416.2
195,96.55,20,Low Value,0.6059,0,386.2,30,💌 Low Priority — Send retention voucher,CLV ($386.2) > Retention Cost ($30) → ROI = $356.2,356.2
558,70.2,11,Low Value,0.4995,0,912.6,30,✅ No Action,Low churn risk — customer is stable,
5671,25.3,61,Mid Value,0.0026,0,151.8,60,✅ No Action,Low churn risk — customer is stable,
2649,25.0,64,Mid Value,0.0048,0,150.0,60,✅ No Action,Low churn risk — customer is stable,
2590,88.4,25,Low Value,0.3202,0,530.4,30,✅ No Action,Low churn risk — customer is stable,
4046,50.15,44,Low Value,0.1194,0,300.9,30,✅ No Action,Low churn risk — customer is stable,
1543,69.95,5,Low Value,0.6404,1,1329.05,30,💌 Low Priority — Send retention voucher,CLV ($1329.05) > Retention Cost ($30) → ROI = $1299.05,1299.05
5034,29.9,48,Mid Value,0.2108,0,179.4,60,✅ No Action,Low churn risk — customer is stable,
4154,74.9,6,Low Value,0.8559,1,1348.2,30,💌 Low Priority — Send retention voucher,CLV ($1348.2) > Retention Cost ($30) → ROI = $1318.2,1318.2
223,50.05,4,Low Value,0.3756,1,1001.0,30,✅ No Action,Low churn risk — customer is stable,
2338,19.95,72,Mid Value,0.0016,0,119.7,60,✅ No Action,Low churn risk — customer is stable,
6919,89.4,54,High Value,0.1839,0,536.4,100,✅ No Action,Low churn risk — customer is stable,
342,67.45,66,High Value,0.0646,0,404.7,100,✅ No Action,Low churn risk — customer is stable,
7001,49.9,3,Low Value,0.5028,1,1047.9,30,💌 Low Priority — Send retention voucher,CLV ($1047.9) > Retention Cost ($30) → ROI = $1017.9,1017.9
907,65.35,19,Low Value,0.1581,0,326.75,30,✅ No Action,Low churn risk — customer is stable,
6070,81.0,61,High Value,0.0295,0,486.0,100,✅ No Action,Low churn risk — customer is stable,
2923,89.8,54,High Value,0.0803,0,538.8,100,✅ No Action,Low churn risk — customer is stable,
7016,49.95,1,Low Value,0.3592,0,1148.85,30,✅ No Action,Low churn risk — customer is stable,
2686,79.85,19,Low Value,0.4374,1,399.25,30,✅ No Action,Low churn risk — customer is stable,
6492,19.75,24,Mid Value,0.0078,0,118.5,60,✅ No Action,Low churn risk — customer is stable,
2931,105.35,33,Low Value,0.313,0,632.1,30,✅ No Action,Low churn risk — customer is stable,
3464,83.85,31,Low Value,0.6287,0,503.1,30,💌 Low Priority — Send retention voucher,CLV ($503.1) > Retention Cost ($30) → ROI = $473.1,473.1
6455,44.3,59,Low Value,0.5609,0,265.8,30,💌 Low Priority — Send retention voucher,CLV ($265.8) > Retention Cost ($30) → ROI = $235.8,235.8
5619,91.0,20,Low Value,0.3522,0,364.0,30,✅ No Action,Low churn risk — customer is stable,
2850,99.0,60,High Value,0.2971,0,594.0,100,✅ No Action,Low churn risk — customer is stable,
2102,80.55,18,Low Value,0.0855,0,483.3,30,✅ No Action,Low churn risk — customer is stable,
4436,60.6,19,Low Value,0.3596,0,303.0,30,✅ No Action,Low churn risk — customer is stable,
3234,19.7,24,Mid Value,0.0091,0,118.2,60,✅ No Action,Low churn risk — customer is stable,
3944,20.25,9,Mid Value,0.0347,0,303.75,60,✅ No Action,Low churn risk — customer is stable,
3670,24.25,33,Low Value,0.0645,0,145.5,30,✅ No Action,Low churn risk — customer is stable,
5595,19.4,2,Low Value,0.1561,0,426.8,30,✅ No Action,Low churn risk — customer is stable,
5080,93.15,67,High Value,0.2727,0,558.9,100,✅ No Action,Low churn risk — customer is stable,
4923,49.75,52,Low Value,0.0201,0,298.5,30,✅ No Action,Low churn risk — customer is stable,
3207,19.65,5,Low Value,0.1858,0,373.35,30,✅ No Action,Low churn risk — customer is stable,
3376,19.4,1,Low Value,0.5407,0,446.2,30,💌 Low Priority — Send retention voucher,CLV ($446.2) > Retention Cost ($30) → ROI = $416.2,416.2
5730,19.8,67,Mid Value,0.0055,0,118.8,60,✅ No Action,Low churn risk — customer is stable,
4140,99.9,63,High Value,0.0894,1,599.4,100,✅ No Action,Low churn risk — customer is stable,
4161,49.95,2,Low Value,0.7035,0,1098.9,30,💌 Low Priority — Send retention voucher,CLV ($1098.9) > Retention Cost ($30) → ROI = $1068.9,1068.9
3831,89.05,25,High Value,0.2928,1,534.3,100,✅ No Action,Low churn risk — customer is stable,
1347,19.95,19,Mid Value,0.0054,0,99.75,60,✅ No Action,Low churn risk — customer is stable,
9,56.15,62,High Value,0.0071,0,336.9,100,✅ No Action,Low churn risk — customer is stable,
5013,34.65,23,Low Value,0.4941,0,34.65,30,✅ No Action,Low churn risk — customer is stable,
1092,64.95,70,High Value,0.0125,0,389.7,100,✅ No Action,Low churn risk — customer is stable,
4461,94.2,29,Low Value,0.3508,0,565.2,30,✅ No Action,Low churn risk — customer is stable,
5381,78.9,32,Low Value,0.7386,1,473.4,30,💌 Low Priority — Send retention voucher,CLV ($473.4) > Retention Cost ($30) → ROI = $443.4,443.4
3799,65.25,31,Low Value,0.072,1,391.5,30,✅ No Action,Low churn risk — customer is stable,
4696,95.8,59,High Value,0.1775,0,574.8,100,✅ No Action,Low churn risk — customer is stable,
2914,64.85,32,Low Value,0.0569,0,389.1,30,✅ No Action,Low churn risk — customer is stable,
4537,49.8,17,Low Value,0.7363,0,348.6,30,💌 Low Priority — Send retention voucher,CLV ($348.6) > Retention Cost ($30) → ROI = $318.6,318.6
1554,20.9,26,Low Value,0.0764,0,125.4,30,✅ No Action,Low churn risk — customer is stable,
5250,94.55,12,Low Value,0.8582,0,1134.6,30,💌 Low Priority — Send retention voucher,CLV ($1134.6) > Retention Cost ($30) → ROI = $1104.6,1104.6
1380,98.45,61,High Value,0.0367,0,590.7,100,✅ No Action,Low churn risk — customer is stable,
4224,19.6,71,Mid Value,0.0053,0,117.6,60,✅ No Action,Low churn risk — customer is stable,
4552,20.45,9,Low Value,0.1033,0,306.75,30,✅ No Action,Low churn risk — customer is stable,
5133,104.25,24,Low Value,0.6527,1,625.5,30,💌 Low Priority — Send retention voucher,CLV ($625.5) > Retention Cost ($30) → ROI = $595.5,595.5
352,89.15,7,Low Value,0.5421,0,1515.55,30,💌 Low Priority — Send retention voucher,CLV ($1515.55) > Retention Cost ($30) → ROI = $1485.55,1485.55
1444,111.15,41,High Value,0.2445,0,666.9,100,✅ No Action,Low churn risk — customer is stable,
3918,90.2,20,Low Value,0.5758,1,360.8,30,💌 Low Priority — Send retention voucher,CLV ($360.8) > Retention Cost ($30) → ROI = $330.8,330.8
4755,91.25,33,Low Value,0.3206,0,547.5,30,✅ No Action,Low churn risk — customer is stable,
2646,81.8,56,High Value,0.0032,0,490.8,100,✅ No Action,Low churn risk — customer is stable,
2275,74.5,1,Low Value,0.9002,1,1713.5,30,💌 Low Priority — Send retention voucher,CLV ($1713.5) > Retention Cost ($30) → ROI = $1683.5,1683.5
3755,76.05,4,Low Value,0.7432,1,1521.0,30,💌 Low Priority — Send retention voucher,CLV ($1521.0) > Retention Cost ($30) → ROI = $1491.0,1491.0
6853,111.1,54,High Value,0.4314,1,666.6,100,✅ No Action,Low churn risk — customer is stable,
150,68.55,8,Low Value,0.181,0,1096.8,30,✅ No Action,Low churn risk — customer is stable,
3174,45.0,58,Mid Value,0.0641,0,270.0,60,✅ No Action,Low churn risk — customer is stable,
4867,100.85,34,Low Value,0.7601,0,605.1,30,💌 Low Priority — Send retention voucher,CLV ($605.1) > Retention Cost ($30) → ROI = $575.1,575.1
3043,30.4,2,Low Value,0.8577,1,668.8,30,💌 Low Priority — Send retention voucher,CLV ($668.8) > Retention Cost ($30) → ROI = $638.8,638.8
3172,95.9,25,Low Value,0.3026,1,575.4,30,✅ No Action,Low churn risk — customer is stable,
4379,89.95,68,High Value,0.225,0,539.7,100,✅ No Action,Low churn risk — customer is stable,
4533,105.15,71,High Value,0.2159,0,630.9,100,✅ No Action,Low churn risk — customer is stable,
